Day,DilutionRate,SpeciesA,SpeciesB,SpeciesC,AColonies,BColonies,Ccolonies,Afraction,Bfraction,Cfraction,Startingfraction
5,1000000,Ea,Pp,Pci,20,49,0,0.289855072,0.710144928,0,4
7,10,Ea,Pp,Pci,80,31,64,0.457142857,0.177142857,0.365714286,1
7,10,Ea,Pp,Pci,53,9,62,0.427419355,0.072580645,0.5,2
7,10,Ea,Pp,Pci,51,0,72,0.414634146,0,0.585365854,3
7,10,Ea,Pp,Pci,47,2,54,0.45631068,0.019417476,0.524271845,4
7,100,Ea,Pp,Pci,43,25,14,0.524390244,0.304878049,0.170731707,1
7,100,Ea,Pp,Pci,55,0,49,0.528846154,0,0.471153846,3
7,1000,Ea,Pp,Pci,44,0,27,0.61971831,0,0.38028169,1
7,1000,Ea,Pp,Pci,34,5,28,0.507462687,0.074626866,0.417910448,2
7,1000,Ea,Pp,Pci,33,0,23,0.589285714,0,0.410714286,3
7,1000,Ea,Pp,Pci,34,0,25,0.576271186,0,0.423728814,4
7,10000,Ea,Pp,Pci,29,0,10,0.743589744,0,0.256410256,1
7,10000,Ea,Pp,Pci,61,5,2,0.897058824,0.073529412,0.029411765,2
7,10000,Ea,Pp,Pci,29,0,15,0.659090909,0,0.340909091,3
7,10000,Ea,Pp,Pci,33,0,10,0.76744186,0,0.23255814,4
7,100000,Ea,Pp,Pci,28,0,0,1,0,0,1
7,100000,Ea,Pp,Pci,82,36,0,0.694915254,0.305084746,0,2
